protein,tm_IF,tm_OF,nseq
ASCT2,0.7871,0.589,32
ASCT2,0.7497,0.7494,32
ASCT2,0.8248,0.711,32
ASCT2,0.9091,0.651,32
ASCT2,0.6324,0.8666,32
ASCT2,0.8232,0.6921,32
ASCT2,0.8565,0.6726,32
ASCT2,0.7871,0.7017,32
ASCT2,0.6558,0.833,32
ASCT2,0.729,0.8276,32
ASCT2,0.8684,0.6207,32
ASCT2,0.664,0.8056,32
ASCT2,0.8183,0.7248,32
ASCT2,0.8595,0.6308,32
ASCT2,0.861,0.6674,32
ASCT2,0.6666,0.8962,32
ASCT2,0.8028,0.7033,32
ASCT2,0.8722,0.6748,32
ASCT2,0.6399,0.8766,32
ASCT2,0.6233,0.9063,32
ASCT2,0.9076,0.6486,32
ASCT2,0.5914,0.8857,32
ASCT2,0.6839,0.7808,32
ASCT2,0.633,0.8994,32
ASCT2,0.6261,0.9112,32
ASCT2,0.6505,0.8867,32
ASCT2,0.6537,0.8869,32
ASCT2,0.9014,0.6512,32
ASCT2,0.7541,0.6585,32
ASCT2,0.8608,0.6877,32
ASCT2,0.831,0.6232,32
ASCT2,0.6452,0.7781,32
ASCT2,0.6705,0.8182,32
ASCT2,0.6703,0.8047,32
ASCT2,0.8888,0.6888,32
ASCT2,0.7747,0.7165,32
ASCT2,0.6539,0.8011,32
ASCT2,0.7734,0.7251,32
ASCT2,0.8938,0.6596,32
ASCT2,0.9016,0.6576,32
ASCT2,0.6622,0.8744,32
ASCT2,0.8586,0.6998,32
ASCT2,0.6627,0.7891,32
ASCT2,0.901,0.6586,32
ASCT2,0.8617,0.6544,32
ASCT2,0.8604,0.6108,32
ASCT2,0.8922,0.6509,32
ASCT2,0.9025,0.6404,32
ASCT2,0.6652,0.8838,32
ASCT2,0.6044,0.774,32
MCT1 (without templates),0.9424,0.8761,32
MCT1 (without templates),0.9672,0.8216,32
MCT1 (without templates),0.9616,0.8503,32
MCT1 (without templates),0.9586,0.8552,32
MCT1 (without templates),0.9715,0.8006,32
MCT1 (without templates),0.9714,0.8279,32
MCT1 (without templates),0.9755,0.8182,32
MCT1 (without templates),0.9561,0.8493,32
MCT1 (without templates),0.9725,0.8251,32
MCT1 (without templates),0.9742,0.7998,32
MCT1 (without templates),0.9665,0.8449,32
MCT1 (without templates),0.9791,0.801,32
MCT1 (without templates),0.9554,0.8611,32
MCT1 (without templates),0.9665,0.8348,32
MCT1 (without templates),0.9768,0.8088,32
MCT1 (without templates),0.9524,0.86,32
MCT1 (without templates),0.9731,0.8117,32
MCT1 (without templates),0.9551,0.8707,32
MCT1 (without templates),0.9741,0.7999,32
MCT1 (without templates),0.9775,0.8073,32
MCT1 (without templates),0.9711,0.8191,32
MCT1 (without templates),0.9793,0.8036,32
MCT1 (without templates),0.936,0.8977,32
MCT1 (without templates),0.9723,0.7862,32
MCT1 (without templates),0.976,0.8081,32
MCT1 (without templates),0.9775,0.8026,32
MCT1 (without templates),0.9721,0.7994,32
MCT1 (without templates),0.9761,0.7976,32
MCT1 (without templates),0.9753,0.8014,32
MCT1 (without templates),0.9735,0.8121,32
