protein,TM_IF,TM_OF,max_tm,pc1,pc2,pc3,type
ASCT2,0.7747,0.7165,0.7747,-13.116,-64.817,-26.663,Model
ASCT2,0.6539,0.8011,0.8011,57.885,-91.7,-42.937,Model
ASCT2,0.6452,0.7781,0.7781,59.878,52.521,-63.81,Model
ASCT2,0.831,0.6232,0.831,-48.674,74.641,-62.656,Model
ASCT2,0.6622,0.8744,0.8744,79.542,5.864,1.175,Model
ASCT2,0.9016,0.6576,0.9016,-68.808,29.822,-4.184,Model
ASCT2,0.8617,0.6544,0.8617,-67.229,-58.831,-31.296,Model
ASCT2,0.8604,0.6108,0.8604,-66.095,105.703,-115.897,Model
ASCT2,0.6666,0.8962,0.8962,86.705,6.595,2.657,Model
ASCT2,0.861,0.6674,0.861,-57.821,-57.339,-25.513,Model
ASCT2,0.901,0.6586,0.901,-73.587,-42.025,-9.222,Model
ASCT2,0.8922,0.6509,0.8922,-75.887,-67.474,-33.366,Model
ASCT2,0.8586,0.6998,0.8586,-54.339,3.797,4.65,Model
ASCT2,0.8938,0.6596,0.8938,-71.479,-43.143,-6.858,Model
ASCT2,0.6703,0.8047,0.8047,57.212,-66.742,-33.17,Model
ASCT2,0.7541,0.6585,0.7541,-21.482,29.785,-104.703,Model
ASCT2,0.8888,0.6888,0.8888,-64.591,9.685,4.224,Model
ASCT2,0.7734,0.7251,0.7734,-10.51,-76.125,-41.306,Model
ASCT2,0.9014,0.6512,0.9014,-73.901,-65.041,-33.919,Model
ASCT2,0.6839,0.7808,0.7808,41.898,-45.841,-7.792,Model
ASCT2,0.6558,0.833,0.833,70.533,-67.366,-28.49,Model
ASCT2,0.664,0.8056,0.8056,54.028,-33.274,-3.551,Model
ASCT2,0.8028,0.7033,0.8028,-29.338,-70.343,-33.317,Model
ASCT2,0.8595,0.6308,0.8595,-56.793,77.783,-75.618,Model
ASCT2,0.6537,0.8869,0.8869,87.297,-38.739,-8.631,Model
ASCT2,0.633,0.8994,0.8994,96.724,-44.088,-22.892,Model
ASCT2,0.6233,0.9063,0.9063,101.577,-24.985,-12.464,Model
ASCT2,0.9076,0.6486,0.9076,-80.268,-51.035,-24.114,Model
ASCT2,0.6705,0.8182,0.8182,55.831,-21.119,-0.887,Model
ASCT2,0.8608,0.6877,0.8608,-58.686,15.129,10.907,Model
ASCT2,0.6505,0.8867,0.8867,86.126,-32.636,-6.917,Model
ASCT2,0.6261,0.9112,0.9112,105.331,-33.42,-10.924,Model
ASCT2,0.6399,0.8766,0.8766,90.877,-89.338,-53.963,Model
ASCT2,0.5914,0.8857,0.8857,125.018,-35.687,15.991,Model
ASCT2,0.729,0.8276,0.8276,33.133,5.731,5.649,Model
ASCT2,0.8684,0.6207,0.8684,-80.563,-82.715,-43.126,Model
ASCT2,0.8722,0.6748,0.8722,-66.875,-1.176,4.293,Model
ASCT2,0.8183,0.7248,0.8183,-32.572,12.649,10.096,Model
ASCT2,0.6627,0.7891,0.7891,51.76,-101.476,-39.303,Model
ASCT2,0.9025,0.6404,0.9025,-83.743,-45.086,-6.12,Model
ASCT2,0.8248,0.711,0.8248,-37.912,13.22,7.976,Model
ASCT2,0.9091,0.651,0.9091,-80.007,-43.764,-11.839,Model
ASCT2,0.7497,0.7494,0.7497,-2.658,15.452,4.335,Model
ASCT2,0.7871,0.589,0.7871,-46.66,101.824,-113.762,Model
ASCT2,0.8232,0.6921,0.8232,-48.515,4.002,5.611,Model
ASCT2,0.6324,0.8666,0.8666,82.272,-34.915,-9.784,Model
ASCT2,0.8565,0.6726,0.8565,-59.731,-24.96,-0.844,Model
ASCT2,0.7871,0.7017,0.7871,-27.527,-39.55,-11.391,Model
ASCT2,0.6044,0.774,0.774,65.212,-85.23,56.621,Model
ASCT2,0.6652,0.8838,0.8838,81.522,-29.196,-3.095,Model
ASCT2,0.9254,0.6804,0.9254,-76.223,-6.1,3.435,Model
ASCT2,0.92,0.6881,0.92,-70.566,1.381,6.323,Model
ASCT2,0.9163,0.6878,0.9163,-72.524,-4.279,3.54,Model
ASCT2,0.9107,0.6897,0.9107,-71.011,-2.132,3.197,Model
ASCT2,0.866,0.7092,0.866,-52.737,-0.845,-0.699,Model
ASCT2,0.8283,0.7145,0.8283,-33.582,-9.231,-4.774,Model
ASCT2,0.7298,0.7128,0.7298,14.434,98.484,-117.709,Model
ASCT2,0.9371,0.6775,0.9371,-82.448,-0.906,6.484,Model
ASCT2,0.7749,0.7631,0.7749,-0.847,12.57,6.511,Model
ASCT2,0.8333,0.7249,0.8333,-37.062,4.903,5.019,Model
ASCT2,0.8986,0.6733,0.8986,-68.998,-33.988,-24.833,Model
ASCT2,0.8297,0.7258,0.8297,-34.476,-2.599,-1.95,Model
ASCT2,0.897,0.6938,0.897,-66.545,2.232,2.639,Model
ASCT2,0.7791,0.7615,0.7791,-5.32,12.438,7.13,Model
